date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:00	1040/1040	---M--	200	added ('OK')	text/html	etag:%226829a589-410%22	https://point.in.ua/robots.txt		(from )
12:25:00	1040/1040	---M--	200	added ('OK')	text/html	etag:%226829a589-410%22	https://point.in.ua/	/home/yehor/websites/point-arhive/point.in.ua/index.html	(from )
12:25:00	4100/4100	---M--	200	added ('OK')	image/png	etag:%226829a588-1004%22	https://point.in.ua/logo-small.png	/home/yehor/websites/point-arhive/point.in.ua/logo-small.png	(from https://point.in.ua/)
12:25:01	475/475	---MC-	200	added ('OK')	text/css	date:Mon,%2019%20May%202025%2009:25:01%20GMT	https://fonts.googleapis.com/icon?family=Material+Icons	/home/yehor/websites/point-arhive/fonts.googleapis.com/icone91f.css	(from https://point.in.ua/)
12:25:02	872/872	---MC-	200	added ('OK')	text/css	date:Mon,%2019%20May%202025%2009:25:02%20GMT	https://fonts.googleapis.com/css2?family=Manrope:wght@400;500;600;700&display=swap	/home/yehor/websites/point-arhive/fonts.googleapis.com/css2ce12.css	(from https://point.in.ua/)
12:25:03	1658/1658	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2019%20May%202025%2009:25:03%20GMT	https://accounts.google.com/gsi/client	/home/yehor/websites/point-arhive/accounts.google.com/gsi/client.3.delayed	(from https://point.in.ua/)
12:25:04	1001/1001	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20May%202025%2009:25:04%20GMT	https://www.google.com/recaptcha/enterprise.js	/home/yehor/websites/point-arhive/www.google.com/recaptcha/enterprise.js	(from https://point.in.ua/)
12:25:07	268887/268887	---M--	200	added ('OK')	text/css	etag:%226829a589-41a57%22	https://point.in.ua/assets/index-DfdofjAy.css	/home/yehor/websites/point-arhive/point.in.ua/assets/index-DfdofjAy.css	(from https://point.in.ua/)
12:25:08	952569/952569	---M--	200	added ('OK')	application/javascript	etag:%226829a589-e88f9%22	https://point.in.ua/assets/index-DgMlUe5J.js	/home/yehor/websites/point-arhive/point.in.ua/assets/index-DgMlUe5J.js	(from https://point.in.ua/)
12:25:08	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2019%20May%202025%2009:25:07%20GMT	https://fonts.googleapis.com/robots.txt		(from https://point.in.ua/)
12:25:09	104/104	---MCZ	200	added ('OK')	text/plain	date:Mon,%2019%20May%202025%2009:25:08%20GMT	https://accounts.google.com/robots.txt		(from https://point.in.ua/)
